100:xgboost:16:0-15::262.378:0.7537166
100:lightgbm:16:0-15::89.983:0.7938021
100:xgboost:24:0-23::240.053:0.7537166
100:lightgbm:24:0-23::68.358:0.7938021
100:xgboost:32:0-31::211.427:0.7537166
100:lightgbm:32:0-31::68.887:0.7938021
100:xgboost:48:0-47::189.907:0.7537166
100:lightgbm:48:0-47::53.531:0.7938021
100:xgboost:1:0::1229.924:0.7537166
100:lightgbm:1:0::1109.057:0.7937991
100:xgboost:2:0-1::763.482:0.7537166
100:lightgbm:2:0-1::569.216:0.7938021
100:xgboost:4:0-3::529.036:0.7537166
100:lightgbm:4:0-3::297.735:0.7938021
100:xgboost:8:0-7::359.788:0.7537166
100:lightgbm:8:0-7::159.965:0.7938021
100:xgboost:12:0-11::292.143:0.7537166
100:lightgbm:12:0-11::127.355:0.7938021
