0.1:h2o:4:0-3::12.425:0.7022444
0.1:h2o:4:0-3::11.429:0.7022444
0.1:h2o:4:0-3::12.424:0.7022444
0.1:xgboost:4:0-3::1.409:0.7338433
0.1:xgboost:4:0-3::1.401:0.7338433
0.1:xgboost:4:0-3::1.421:0.7338433
0.1:lightgbm:4:0-3::1.342:0.7174663
0.1:lightgbm:4:0-3::1.466:0.7174663
0.1:lightgbm:4:0-3::1.477:0.7174663
0.1:catboost:4:0-3::5.758:0.7219989
0.1:catboost:4:0-3::5.774:0.7219989
0.1:catboost:4:0-3::5.772:0.7219989
0.1:h2o:8:0-7::10.407:0.7022567
0.1:h2o:8:0-7::10.416:0.7022567
0.1:h2o:8:0-7::10.377:0.7022567
0.1:xgboost:8:0-7::1.001:0.7338433
0.1:xgboost:8:0-7::1.003:0.7338433
0.1:xgboost:8:0-7::1.014:0.7338433
0.1:lightgbm:8:0-7::1.982:0.7174663
0.1:lightgbm:8:0-7::2.056:0.7174663
0.1:lightgbm:8:0-7::1.999:0.7174663
0.1:catboost:8:0-7::5.182:0.7219989
0.1:catboost:8:0-7::5.321:0.7219989
0.1:catboost:8:0-7::5.105:0.7219989
0.1:h2o:12:0-11::9.383:0.7022251
0.1:h2o:12:0-11::10.411:0.7022251
0.1:h2o:12:0-11::9.387:0.7022251
0.1:xgboost:12:0-11::0.785:0.7338433
0.1:xgboost:12:0-11::0.798:0.7338433
0.1:xgboost:12:0-11::0.796:0.7338433
0.1:lightgbm:12:0-11::2.199:0.7174663
0.1:lightgbm:12:0-11::2.319:0.7174663
0.1:lightgbm:12:0-11::2.369:0.7174663
0.1:catboost:12:0-11::4.867:0.7219989
0.1:catboost:12:0-11::4.737:0.7219989
0.1:catboost:12:0-11::4.672:0.7219989
0.1:h2o:16:0-15::9.403:0.7022242
0.1:h2o:16:0-15::9.407:0.7022242
0.1:h2o:16:0-15::9.383:0.7022242
0.1:xgboost:16:0-15::0.742:0.7338433
0.1:xgboost:16:0-15::0.696:0.7338433
0.1:xgboost:16:0-15::0.736:0.7338433
0.1:lightgbm:16:0-15::2.543:0.7174663
0.1:lightgbm:16:0-15::2.279:0.7174663
0.1:lightgbm:16:0-15::2.526:0.7174663
0.1:catboost:16:0-15::4.679:0.7219989
0.1:catboost:16:0-15::4.75:0.7219989
0.1:catboost:16:0-15::4.747:0.7219989
0.1:h2o:24:0-23::10.466:0.702207
0.1:h2o:24:0-23::9.451:0.702207
0.1:h2o:24:0-23::9.473:0.702207
0.1:xgboost:24:0-23::0.834:0.7338433
0.1:xgboost:24:0-23::0.659:0.7338433
0.1:xgboost:24:0-23::0.661:0.7338433
0.1:lightgbm:24:0-23::2.876:0.7174663
0.1:lightgbm:24:0-23::2.967:0.7174663
0.1:lightgbm:24:0-23::3.079:0.7174663
0.1:catboost:24:0-23::5.268:0.7219989
0.1:catboost:24:0-23::5.249:0.7219989
0.1:catboost:24:0-23::5.282:0.7219989
0.1:h2o:36:0-35::10.516:0.7022184
0.1:h2o:36:0-35::10.467:0.7022184
0.1:h2o:36:0-35::10.47:0.7022184
0.1:xgboost:36:0-35::0.638:0.7338433
0.1:xgboost:36:0-35::0.649:0.7338433
0.1:xgboost:36:0-35::0.688:0.7338433
0.1:lightgbm:36:0-35::3.268:0.7174663
0.1:lightgbm:36:0-35::3.653:0.7174663
0.1:lightgbm:36:0-35::3.446:0.7174663
0.1:catboost:36:0-35::5.518:0.7219989
0.1:catboost:36:0-35::5.491:0.7219989
0.1:catboost:36:0-35::5.503:0.7219989
0.1:h2o:48:0-47::10.495:0.7022221
0.1:h2o:48:0-47::10.535:0.7022221
0.1:h2o:48:0-47::11.449:0.7022221
0.1:xgboost:48:0-47::0.645:0.7338433
0.1:xgboost:48:0-47::0.835:0.7338433
0.1:xgboost:48:0-47::0.625:0.7338433
0.1:lightgbm:48:0-47::4.279:0.7174663
0.1:lightgbm:48:0-47::4.306:0.7174663
0.1:lightgbm:48:0-47::4.325:0.7174663
0.1:catboost:48:0-47::5.712:0.7219989
0.1:catboost:48:0-47::5.731:0.7219989
0.1:catboost:48:0-47::5.683:0.7219989
0.1:h2o:48:0-23,48-71:HT:11.558:0.7022221
0.1:h2o:48:0-23,48-71:HT:11.561:0.7022221
0.1:h2o:48:0-23,48-71:HT:11.577:0.7022221
0.1:xgboost:48:0-23,48-71:HT:0.814:0.7338433
0.1:xgboost:48:0-23,48-71:HT:0.824:0.7338433
0.1:xgboost:48:0-23,48-71:HT:0.858:0.7338433
0.1:lightgbm:48:0-23,48-71:HT:4.669:0.7174663
0.1:lightgbm:48:0-23,48-71:HT:4.489:0.7174663
0.1:lightgbm:48:0-23,48-71:HT:4.384:0.7174663
0.1:catboost:48:0-23,48-71:HT:4.628:0.7219989
0.1:catboost:48:0-23,48-71:HT:4.641:0.7219989
0.1:catboost:48:0-23,48-71:HT:4.592:0.7219989
0.1:h2o:96:0-95:ALL:13.683:0.7022458
0.1:h2o:96:0-95:ALL:14.714:0.7022458
0.1:h2o:96:0-95:ALL:13.706:0.7022458
0.1:xgboost:96:0-95:ALL:1.01:0.7338433
0.1:xgboost:96:0-95:ALL:1.019:0.7338433
0.1:xgboost:96:0-95:ALL:1.021:0.7338433
0.1:lightgbm:96:0-95:ALL:7.346:0.7174663
0.1:lightgbm:96:0-95:ALL:7.606:0.7174663
0.1:lightgbm:96:0-95:ALL:7.757:0.7174663
0.1:catboost:96:0-95:ALL:2.809:0.7219989
0.1:catboost:96:0-95:ALL:2.81:0.7219989
0.1:catboost:96:0-95:ALL:2.858:0.7219989
