0.1:xgboost:1:0::1.202:0.7321124
0.1:lightgbm:1:0::1.872:0.7174663
0.1:xgboost:2:0-1::0.695:0.7321124
0.1:lightgbm:2:0-1::1.339:0.7174663
0.1:xgboost:4:0-3::0.411:0.7321124
0.1:lightgbm:4:0-3::1.054:0.7174663
0.1:xgboost:8:0-7::0.273:0.7321124
0.1:lightgbm:8:0-7::0.966:0.7174663
0.1:xgboost:12:0-11::0.673:0.7321124
0.1:lightgbm:12:0-11::1.64:0.7174663
0.1:xgboost:16:0-15::0.32:0.7321124
0.1:lightgbm:16:0-15::2.006:0.7174663
0.1:xgboost:24:0-23::0.324:0.7321124
0.1:lightgbm:24:0-23::2.286:0.7174663
0.1:xgboost:32:0-31::0.337:0.7321124
0.1:lightgbm:32:0-31::2.994:0.7174663
0.1:xgboost:48:0-47::0.438:0.7321124
0.1:lightgbm:48:0-47::3.875:0.7174663
0.1:xgboost:96:0-47,96-143:NUMA:1.284:0.7321124
0.1:lightgbm:96:0-47,96-143:NUMA:8.424:0.7174663
0.1:xgboost:96:0-95::0.493:0.7321124
0.1:lightgbm:96:0-95::5.726:0.7174663
0.1:xgboost:192:0-191:ALL:2.33:0.7321124
0.1:lightgbm:192:0-191:ALL:15.814:0.7174663
1:xgboost:1:0::9.62:0.7494362
1:lightgbm:1:0::9.373:0.7650181
1:xgboost:2:0-1::5.633:0.7494362
1:lightgbm:2:0-1::5.458:0.7650181
1:xgboost:4:0-3::3.354:0.7494362
1:lightgbm:4:0-3::3.36:0.7650181
1:xgboost:8:0-7::2.216:0.7494362
1:lightgbm:8:0-7::2.256:0.7650181
1:xgboost:12:0-11::1.996:0.7494362
1:lightgbm:12:0-11::3.347:0.7650181
1:xgboost:16:0-15::1.807:0.7494362
1:lightgbm:16:0-15::3.456:0.7650181
1:xgboost:24:0-23::1.668:0.7494362
1:lightgbm:24:0-23::4.412:0.7650181
1:xgboost:32:0-31::1.581:0.7494362
1:lightgbm:32:0-31::4.431:0.7650181
1:xgboost:48:0-47::1.531:0.7494362
1:lightgbm:48:0-47::5.479:0.7650181
1:xgboost:96:0-47,96-143:NUMA:2.177:0.7494362
1:lightgbm:96:0-47,96-143:NUMA:11.107:0.7650181
1:xgboost:96:0-95::1.674:0.7494362
1:lightgbm:96:0-95::7.899:0.7650181
1:xgboost:192:0-191:ALL:4.33:0.7494362
1:lightgbm:192:0-191:ALL:27.664:0.7650181
10:xgboost:1:0::95.976:0.7569214
10:lightgbm:1:0::105.362:0.7922343
10:xgboost:2:0-1::60.274:0.7569214
10:lightgbm:2:0-1::68.13:0.7922343
10:xgboost:4:0-3::41.358:0.7569214
10:lightgbm:4:0-3::39.824:0.7922343
10:xgboost:8:0-7::33.01:0.7569214
10:lightgbm:8:0-7::20.968:0.7922343
10:xgboost:12:0-11::27.129:0.7569214
10:lightgbm:12:0-11::16.588:0.7922343
10:xgboost:16:0-15::22.152:0.7569214
10:lightgbm:16:0-15::13.426:0.7922343
10:xgboost:24:0-23::18.723:0.7569214
10:lightgbm:24:0-23::11.939:0.7922343
10:xgboost:32:0-31::17.164:0.7569214
10:lightgbm:32:0-31::10.986:0.7922343
10:xgboost:48:0-47::15.755:0.7569214
10:lightgbm:48:0-47::10.566:0.7922343
10:xgboost:96:0-47,96-143:NUMA:16.943:0.7569214
10:lightgbm:96:0-47,96-143:NUMA:18.077:0.7922343
10:xgboost:96:0-95::13.919:0.7569214
10:lightgbm:96:0-95::13.853:0.7922343
10:xgboost:192:0-191:ALL:18.022:0.7569214
10:lightgbm:192:0-191:ALL:116.269:0.7922343
